Date,AAPL,MSFT,GOOGL,TSLA,JPM,PFE,WMT,VTI
2019-01-02,37.50372314453125,94.39717102050781,52.30173110961914,20.674667358398438,81.25021362304688,29.294357299804688,27.9670467376709,114.7423095703125
2019-01-03,33.76809310913086,90.9244613647461,50.85319519042969,20.02400016784668,80.09550476074219,28.474788665771484,27.823225021362305,112.0832748413086
2019-01-04,35.20961380004883,95.15328216552734,53.46164321899414,21.179332733154297,83.04826354980469,29.12502670288086,27.997013092041016,115.79330444335938
2019-01-07,35.131248474121094,95.27465057373047,53.35503005981445,22.33066749572754,83.1059799194336,29.28082275390625,28.32659149169922,116.96112823486328
2019-01-08,35.80095291137695,95.96546936035156,53.82365417480469,22.356666564941406,82.94927215576172,29.416276931762695,28.524354934692383,118.16487884521484
2019-01-09,36.40890884399414,97.33771514892578,53.6391716003418,22.568666458129883,82.8090591430664,29.355318069458008,28.431467056274414,118.72185516357422
2019-01-10,36.525291442871094,96.71227264404297,53.499332427978516,22.99799919128418,82.80081939697266,28.657670974731445,28.45244026184082,119.30573272705078
2019-01-11,36.16668701171875,95.96546936035156,52.78721237182617,23.150667190551758,82.40492248535156,29.043752670288086,28.416486740112305,119.33268737792969
2019-01-14,35.622840881347656,95.26529693603516,52.144527435302734,22.293333053588867,83.25446319580078,28.69831085205078,28.449445724487305,118.578125
2019-01-15,36.3519287109375,98.02853393554688,53.880184173583984,22.961999893188477,83.86476135253906,28.94214630126953,28.838958740234375,119.87166595458984
2019-01-16,36.7960090637207,98.37393951416016,54.02894592285156,23.06999969482422,84.54114532470703,28.522205352783203,28.868925094604492,120.21306610107422
2019-01-17,37.01450729370117,99.06472778320312,54.50551223754883,23.15399932861328,84.88754272460938,28.76604652404785,28.98577308654785,121.18326568603516
2019-01-18,37.242496490478516,100.54901885986328,54.91115951538086,20.150667190551758,86.26493072509766,28.806684494018555,29.28240394592285,122.75528717041016
2019-01-22,36.40654373168945,98.65397644042969,53.48940658569336,19.92799949645996,84.90404510498047,28.63058090209961,29.21049690246582,121.07544708251953
2019-01-23,36.55378341674805,99.6155014038086,53.77604293823242,19.172666549682617,84.68959045410156,28.556066513061523,29.576040267944336,121.2011947631836
2019-01-24,36.2640495300293,99.13941955566406,53.75571060180664,19.43400001525879,84.73909759521484,27.736513137817383,29.471168518066406,121.45272827148438
2019-01-25,37.46571731567383,100.044921875,54.6240348815918,19.80266761779785,85.27519226074219,27.526531219482422,29.045696258544922,122.5936050415039
2019-01-28,37.11899948120117,98.0938720703125,53.55040740966797,19.7586669921875,85.6793441772461,26.774707794189453,29.081647872924805,121.69526672363281
2019-01-29,36.7342643737793,96.09616088867188,53.064422607421875,19.83066749572754,85.91854095458984,27.61458396911621,28.97679328918457,121.52459716796875
2019-01-30,39.24449920654297,99.30744934082031,54.44947814941406,20.584667205810547,86.11647033691406,28.16322135925293,28.40450096130371,123.35717010498047
2019-01-31,39.52710723876953,97.48709106445312,55.833038330078125,20.468000411987305,85.36591339111328,29.00360870361328,28.713115692138672,124.444091796875
2019-02-01,39.54610061645508,95.94680786132812,55.47251892089844,20.81399917602539,85.6793441772461,29.29741096496582,28.122854232788086,124.623779296875
2019-02-04,40.66940689086914,98.70999145507812,56.60317611694336,20.859333038330078,85.98451232910156,28.99677848815918,28.3955135345459,125.51315307617188
2019-02-05,41.36524200439453,100.09159088134766,57.12138366699219,21.42333221435547,85.60508728027344,28.77130699157715,28.644197463989258,126.0341796875
2019-02-06,41.37948989868164,98.9807357788086,55.68427658081055,21.148000717163086,85.56388854980469,28.921621322631836,28.65618133544922,125.9084243774414
2019-02-07,40.59579086303711,98.27123260498047,54.84223175048828,20.500667572021484,84.44214630126953,28.491180419921875,28.98278045654297,124.713623046875
2019-02-08,40.64348220825195,98.64464569091797,54.66717529296875,20.386667251586914,83.60086059570312,28.853294372558594,28.638214111328125,124.83938598632812
2019-02-11,40.40974426269531,98.25257110595703,54.6542854309082,20.856000900268555,83.2049560546875,28.477514266967773,28.823974609375,125.0998764038086
2019-02-12,40.75796890258789,99.78351593017578,55.916847229003906,20.78733253479004,84.62361907958984,28.607330322265625,29.05469512939453,126.66301727294922
2019-02-13,40.5886344909668,99.70885467529297,55.96891784667969,20.544666290283203,85.0277328491211,28.491180419921875,29.345327377319336,127.0582275390625
2019-02-14,40.73650360107422,99.7928695678711,55.9971809387207,20.251333236694336,84.47514343261719,28.675655364990234,29.519105911254883,126.83369445800781
2019-02-15,40.64586639404297,101.0251235961914,55.52260208129883,20.525333404541016,87.05674743652344,28.96944808959961,29.959556579589844,128.22605895996094
2019-02-19,40.767513275146484,100.97843933105469,55.86378479003906,20.375999450683594,86.75157165527344,29.10609245300293,30.621728897094727,128.4775848388672
2019-02-20,41.02986145019531,100.45343780517578,55.570213317871094,20.17066764831543,87.1722183227539,28.832794189453125,29.926599502563477,128.7471160888672
2019-02-21,40.798519134521484,102.57221221923828,54.75792694091797,19.415332794189453,86.99076080322266,28.791807174682617,29.779783248901367,128.306884765625
2019-02-22,41.254051208496094,104.03469848632812,55.370361328125,19.6473331451416,86.60308837890625,29.352069854736328,29.827720642089844,129.15135192871094
2019-02-25,41.5545768737793,104.615966796875,55.40855026245117,19.917999267578125,87.5103759765625,29.434049606323242,29.69888687133789,129.33998107910156
2019-02-26,41.57843017578125,105.33780670166016,55.640628814697266,19.857332229614258,86.84229278564453,29.393056869506836,29.57004165649414,129.09742736816406
2019-02-27,41.707210540771484,105.1596908569336,55.68427658081055,20.982667922973633,86.73507690429688,29.33156394958496,29.396263122558594,129.14236450195312
2019-02-28,41.29698181152344,105.0284652709961,55.86577224731445,21.325332641601562,86.07522583007812,29.6185302734375,29.659929275512695,128.87289428710938
2019-03-01,41.731056213378906,105.49720764160156,56.95526123046875,19.652666091918945,86.13298034667969,29.625356674194336,29.342327117919922,129.7352294921875
2019-03-04,41.940956115722656,105.24407196044922,57.19825744628906,19.02400016784668,85.9350357055664,29.42721176147461,29.318359375,129.1333465576172
2019-03-05,41.864627838134766,104.71905517578125,57.980289459228516,18.43600082397461,85.8690414428711,29.30423927307129,29.465179443359375,128.89083862304688
2019-03-06,41.62375259399414,104.76593780517578,57.769535064697266,18.416000366210938,85.54736328125,28.600494384765625,29.441204071044922,127.91165161132812
2019-03-07,41.1419677734375,103.49095153808594,57.07081604003906,18.439332962036133,84.92878723144531,28.279369354248047,29.198511123657227,126.91454315185547
2019-03-08,41.23973846435547,103.60344696044922,57.02717208862305,18.94266700744629,84.9617691040039,27.937747955322266,29.240453720092773,126.65401458740234
2019-03-11,42.668392181396484,105.77843475341797,58.47966766357422,19.39466667175293,86.06700134277344,28.354528427124023,29.50712776184082,128.51351928710938
2019-03-12,43.14778137207031,106.51909637451172,59.37179183959961,18.890666961669922,85.81130981445312,28.511669158935547,29.47416877746582,128.94467163085938
2019-03-13,43.338584899902344,107.34407806396484,59.4615478515625,19.263999938964844,86.09998321533203,28.70298194885254,29.671913146972656,129.77117919921875
2019-03-14,43.82036209106445,107.42845916748047,59.137725830078125,19.33066749572754,86.8835220336914,28.142723083496094,29.58757209777832,129.663330078125
