"('Unnamed: 0_level_0', 'Price')",AAPL,MSFT,GOOGL,TSLA,JPM,PFE,WMT,VTI
2019-01-03,-0.0996074201617353,-0.03678804153457271,-0.027695610923648584,-0.03147171266518334,-0.014211580219960829,-0.027976818320324393,-0.005142609986586444,-0.02317377572392698
2019-01-04,0.04268976687786341,0.04650932528409757,0.051293686131751004,0.0576973909120706,0.03686528751337015,0.0228354316999142,0.0062461512116327444,0.03310085958878983
2019-01-07,-0.002226112438667327,0.0012751028609432336,-0.0019944129892648377,0.05436123871697496,0.0006954333546556057,0.005348625986687727,0.011772185410251046,0.0100852841573138
2019-01-08,0.019063146584837654,0.007250814752721935,0.00878313031545197,0.0011642764023440666,-0.0018860045044147844,0.004626756236623564,0.006981074244294838,0.010291951333855964
2019-01-09,0.016981448919691777,0.014299769008501384,-0.003427395892114604,0.009482625353500751,-0.0016900708910008166,-0.0020726071939602964,-0.003256107299150157,0.004713422711153603
2019-01-10,0.003196541796284702,-0.006425801400865905,-0.002607105644779506,0.019023398389568458,-9.959507828949388e-05,-0.023765355031717728,0.000737742799527652,0.00491822241472506
2019-01-11,-0.00981818478047658,-0.007721987010217424,-0.013310750992831966,0.0066383165769237085,-0.004781592775145449,0.013471925723175682,-0.0012639036778564483,0.0002258012924325481
2019-01-14,-0.015037003956806516,-0.007295849188906356,-0.012175084122527435,-0.0370328047095243,0.010309809994005104,-0.011893581319695201,0.0011599886216138167,-0.0063230547783688085
2019-01-15,0.020466756632942618,0.029005539131301772,0.03328550378386019,0.02999402727229117,0.007330697721687596,0.008496374694922704,0.013691274645836415,0.010908957080540516
2019-01-16,0.01221645891221912,0.003523442974734836,0.002761185882608874,0.004703414429845676,0.00806480812159327,-0.01450966849918478,0.0010391590060765399,0.002847791574040137
2019-01-17,0.005937990981618624,0.007022298936224081,0.008820502132049768,0.0036410765019605495,0.004097201898352498,0.00854930335666082,0.004047337041977572,0.008070094959765184
2019-01-18,0.0061592483746484294,0.014982886668791107,0.007442316066564647,-0.1297111611448506,0.0162262148562633,0.0014126396270444097,0.010233936022435941,0.012972712635102912
2019-01-22,-0.022446003726763086,-0.01884702675686256,-0.025891943607867174,-0.011050140026936939,-0.01577565308032247,-0.0061137522346554896,-0.0024557701479389626,-0.013684400905419558
2019-01-23,0.004044423590791046,0.0097466717573651,0.0053586785896120315,-0.03790309945117787,-0.0025260269920329703,-0.0026020168061849924,0.01251417591137205,0.00103877847968592
2019-01-24,-0.007926546673224566,-0.0047792702732406545,-0.00037809285989032215,0.013630522645296628,0.0005843015839384069,-0.028700261014082407,-0.003545834700245276,0.0020751492847261854
2019-01-25,0.03313724793039485,0.009133701640621661,0.016153226259702835,0.018970237843449533,0.006326777599330535,-0.0075699097993751074,-0.014436704035497128,0.009393524187244262
2019-01-28,-0.009254468142991357,-0.019501734526339742,-0.01965485475855311,-0.0022219544588429896,0.004739295363082707,-0.027313087537857328,0.0012380885525533625,-0.007327463993724859
2019-01-29,-0.010365112841792978,-0.020365452882169732,-0.009075348637882064,0.0036439960027925267,0.0027918566795257505,0.03136833793785265,-0.0036063092901127414,-0.0014024334508652148
2019-01-30,0.06833465078962231,0.0334173685301975,0.026101398517194063,0.038021902704256094,0.0023038642939128273,0.01986732141658276,-0.019749764698037797,0.015079722630086945
2019-01-31,0.007201215275550288,-0.0183303787330239,0.025409982328918668,-0.005667655087972956,-0.008715690573050994,0.029840436933460612,0.010864926791241958,0.008811298243214027
2019-02-01,0.0004807083562379244,-0.015800101879591577,-0.006457098603164235,0.01690437546773982,0.0036714364656043053,0.010129454682049177,-0.02055694253086282,0.0014437372249884728
2019-02-04,0.028404789031263533,0.028799283202572967,0.02038229551842563,0.002178046704109926,0.0035617476899929557,-0.01026114174098014,0.009694883738847748,0.007136346458754161
2019-02-05,0.017109549837500015,0.013996550966153043,0.009155299483454282,0.027038217137096865,-0.004412270988166989,-0.007776070840211258,0.008758197522956257,0.00415092850948362
2019-02-06,0.0003447179399405087,-0.011098614588307743,-0.025159092108136605,-0.012851945460094383,-0.0004816213420640869,0.005224652569321808,0.0004183698942541447,-0.0009977876511988448
2019-02-07,-0.01893940162173635,-0.007167632731084672,-0.015121635190405436,-0.030609661584522718,-0.013109908142011961,-0.01488314616270825,0.011396826990033526,-0.009488965200644017
2019-02-08,0.0011749734047625804,0.0037995871313547536,-0.003191931422825589,-0.005560810155770257,-0.009962593967962285,0.012709821442319136,-0.011888528054129432,0.0010083524470456684
2019-02-11,-0.005750744266689645,-0.003974461294131371,-0.0002358577297800757,0.023021597541653227,-0.004735923984290569,-0.013023753661889681,0.006486589016835742,0.0020867875291432636
2019-02-12,0.008617245668343543,0.015581725437082916,0.023100874673254834,-0.003292499161602569,0.017049947551036837,0.0045586795281042924,0.008004332961775829,0.012494651491947284
2019-02-13,-0.00415510002377284,-0.0007481557788018289,0.0009311469719541776,-0.011673755836671518,0.004776147822568522,-0.0040604773162725705,0.010002936382900174,0.0031206533778036505
2019-02-14,0.003643210826249632,0.0008425254123447523,0.0005050465464120357,-0.014277820308407851,-0.00649946701409454,0.006474809644559709,0.005922107202658733,-0.001767526545473408
2019-02-15,-0.002224775768953524,0.012347732841755166,-0.008475049091153708,0.013529981687833148,0.030560519132160513,0.010245571792500963,0.014920606162265537,0.010978056579071138
2019-02-19,0.002992753403519899,-0.0004618035243877383,0.006144933701786037,-0.007275592114103224,-0.0035056566638631548,0.004716711871314505,0.022102271949557606,0.0019617003735619143
2019-02-20,0.0064349456192358545,-0.005199219943232691,-0.00525513037241121,-0.010077140160174025,0.004849306098068329,-0.00938953106997431,-0.022700589643905866,0.002097528607494459
2019-02-21,-0.005638018585258364,0.02109210456462174,-0.014617229514838459,-0.03744719150082565,-0.002081860246761713,-0.001421872116184164,-0.004905687362190547,-0.0034189938572360967
2019-02-22,0.011165499526511802,0.014258039346654705,0.011184396100362592,0.011949336815981981,-0.004456303128594796,0.01945897224520965,0.0016096011159796308,0.006581499542974489
2019-02-25,0.007284568945556735,0.00558725465283727,0.0006896309881723184,0.013776227055194656,0.010476211367550059,0.002793241090853993,-0.004319199074887647,0.0014604095621204571
2019-02-26,0.0005738398607655348,0.0069001940823161245,0.004188565949552192,-0.0030458399535450154,-0.007634157468959235,-0.001392568311988196,-0.00433838504207662,-0.0018752009249182189
2019-02-27,0.0030975636206098667,-0.0016909734595318415,0.0007842528015835626,0.056671041222803975,-0.0012348679044512645,-0.0020922196320569686,-0.005876908531060376,0.00034749596065486443
2019-02-28,-0.009835734804948149,-0.0012483047657079194,0.0032594390591627054,0.016330846005180533,-0.007607486556318821,0.009783533636541941,0.008969506312828779,-0.002086732746733877
2019-03-01,0.010510856559803328,0.004463440287130638,0.019502042898826843,-0.07843566043230521,0.0006710658663866553,0.0002305417751033989,-0.01070818548293484,0.006692076508005407
2019-03-04,0.005029550126709914,-0.00239945350401638,0.004266372931990503,-0.03198883658491347,-0.0022983938436208495,-0.006688226582434842,-0.0008167016395330684,-0.004639669906916111
2019-03-05,-0.001819807745060964,-0.004988563239417654,0.013672438239370255,-0.03090829156245878,-0.0007678666154696812,-0.004179128585221403,0.005007524753815051,-0.001877965671501225
2019-03-06,-0.00575394366607862,0.00044762620414284804,-0.003635128642078045,-0.0010848588017886573,-0.00374614860951894,-0.02401506027880107,-0.0008133613158108899,-0.007596731521342326
2019-03-07,-0.01157439462698373,-0.012170145359536422,-0.012095006212387571,0.0012669741182240735,-0.007230624328505519,-0.011227754512452393,-0.008243630955149572,-0.007795647728744304
2019-03-08,0.002376793211387618,0.0010872287263699043,-0.0007646665245171214,0.02729675994497449,0.000388347351597762,-0.01208036725503514,0.0014365289499351785,-0.0020522469034748303
2019-03-11,0.03464217204461417,0.020993686738793427,0.025470372250796736,0.023861458586003748,0.013008222799523406,0.014918184259814726,0.009120037749783538,0.014681401780721304
2019-03-12,0.011235051981795419,0.007001574874707872,0.015255221836524724,-0.025986510550194408,-0.002970400331673617,0.005541930449196819,-0.0011169838230620233,0.0033551560560756144
2019-03-13,0.004422360002436232,0.007745134195632275,0.0015116976342588462,0.019762826693860758,0.0033639589091298827,0.006709982556573735,0.00670926780143577,0.0064097838251118144
2019-03-14,0.01111667598220234,0.0007860806021178224,-0.005445906707091441,0.0034607328163371864,0.009100601508263306,-0.01951892225656704,-0.0028424534849480487,-0.0008311889270443684
2019-03-15,0.01300799164569133,0.011519179504894117,-0.0018698155064192923,-0.05011042604829263,0.011486300361231105,0.014323856591321071,0.002035918076440879,0.0046422431891486315
2019-03-18,0.010208674782618221,0.014321567325682016,-0.0014703095825331358,-0.021566273770704303,0.00600661162219307,0.0007179491017181849,0.012599335794905686,0.003724114051388172
