,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Beta
AAPL,0.3328128263781303,0.31085233810404217,0.9419675855232782,-0.33360518621616475,1.173488037543833
MSFT,0.2753305581332269,0.2837322827559907,0.8294105832701835,-0.371484879612087,1.106052039154218
GOOGL,0.30607152392640125,0.31376444487410854,0.8479976883077269,-0.4432005064829471,1.1012410243404767
TSLA,0.6494506819395687,0.6434419188463262,0.9471727969360422,-0.7363221744219118,1.6805484504540185
JPM,0.2420092566048289,0.29898994464081413,0.6756389645394558,-0.4362650812294715,1.057738352499677
PFE,0.009103512685841454,0.26218700828938246,-0.11784141218796512,-0.5896199055312905,0.5193002405005417
WMT,0.22267166813967407,0.21977688722667227,0.831168693145022,-0.2573966481531992,0.45754446699769014
VTI,0.17540274730018285,0.20246546642008836,0.6687695916460169,-0.35000295218810373,1.0
