Price,Close,High,Low,Open,Volume
Ticker,VTI,VTI,VTI,VTI,VTI
Date,,,,,
2019-01-02,114.7423095703125,115.12858708409236,112.5953204679329,112.9636346140717,5093200
2019-01-03,112.0832748413086,114.0056840849659,111.9036137567501,114.0056840849659,5252900
2019-01-04,115.79330444335938,116.21551543649046,113.47564681573489,113.61938113408995,4776900
2019-01-07,116.96112823486328,117.7157128869036,115.71246540329899,116.05383100138096,4485100
2019-01-08,118.16487884521484,118.33556165360017,116.82639226689724,118.08403342248302,3949400
2019-01-09,118.72185516357422,119.17999296848527,118.00319714443528,118.59609103826953,6405100
2019-01-10,119.30573272705078,119.37759988501284,117.6797776865281,118.07504020169006,2685700
2019-01-11,119.33268737792969,119.35065759516554,118.44336038001724,118.69488859228132,3033800
2019-01-14,118.578125,119.01830630772041,118.1828623901714,118.38947195175922,2479400
2019-01-15,119.87166595458984,119.97945982704573,118.6230033386986,118.7487674256496,4542100
2019-01-16,120.21306610107422,120.67120389815949,120.02441306270887,120.07831001445287,2963100
2019-01-17,121.18326568603516,121.63242532713575,119.62019890765431,119.83578676273336,4401100
2019-01-18,122.75528717041016,123.01580735924182,121.67730710041708,122.07256965777528,4224900
2019-01-22,121.07544708251953,122.09953030722338,120.27594363259513,122.07258183083079,5037900
2019-01-23,121.2011947631836,121.96477137673416,120.01542084101328,121.61442752390431,3934200
2019-01-24,121.45272827148438,121.6952782439366,120.78798097201879,121.21017829903214,3785200
2019-01-25,122.5936050415039,122.90802220009334,122.19834245605247,122.37800352927732,2987300
2019-01-28,121.69526672363281,121.74018541165104,120.80592604700446,121.48865720745982,4371600
2019-01-29,121.52459716796875,122.05460210542968,121.12933460197736,121.83002234814008,2975100
2019-01-30,123.35717010498047,123.79733763678715,121.83001685841703,122.30612482583646,3060700
2019-01-31,124.444091796875,124.65969322534717,123.28526667356998,123.31221513872201,3932900
2019-02-01,124.623779296875,125.04599028369867,124.19259005551041,124.5968308259934,3225400
2019-02-04,125.51315307617188,125.54010155416422,124.29143848055642,124.65076065862937,4938100
2019-02-05,126.0341796875,126.16892207730997,125.4592559788734,125.71976250159348,2759100
2019-02-06,125.9084243774414,126.12401221624437,125.4502728054583,125.899432412649,2945200
2019-02-07,124.713623046875,125.30651685109775,123.17749159179961,125.02802645898619,5097500
2019-02-08,124.83938598632812,124.85735620341951,123.66259035114129,124.09377961051874,2105800
2019-02-11,125.0998764038086,125.36039654280654,124.76750282018119,125.2256404927966,2337000
2019-02-12,126.66301727294922,126.82470816232146,125.81859496463395,125.87249192775802,3312300
2019-02-13,127.0582275390625,127.45349004862798,126.78872912733526,127.06720579345858,2369300
2019-02-14,126.83369445800781,127.3906479950789,126.11503633152869,126.53724746681277,2731400
2019-02-15,128.22605895996094,128.25300743337283,127.48045254529121,127.70503229523052,2537600
2019-02-19,128.4775848388672,128.809958476389,127.86672080240399,127.92960971072426,2469900
2019-02-20,128.7471160888672,128.9357554473864,128.22608930085127,128.50456606350764,2357400
2019-02-21,128.306884765625,128.58536141981676,127.78585818054515,128.51349426595146,3684900
2019-02-22,129.15135192871094,129.2142271433308,128.48659080304742,128.63930341828168,1838400
2019-02-25,129.33998107910156,130.14847649907898,129.26811390573056,129.861007805595,3920000
2019-02-26,129.09742736816406,129.5645433711464,128.98961976902515,129.13335409637045,2155200
2019-02-27,129.14236450195312,129.331017566967,128.3518529192738,128.8099907810742,2046800
2019-02-28,128.87289428710938,129.26814326953973,128.7471301319577,129.04356344196424,2275100
2019-03-01,129.7352294921875,129.89693404140496,128.90877764968792,129.69930276306155,2985100
2019-03-04,129.1333465576172,130.28319369473212,127.93858073242171,130.2562452233356,3555400
2019-03-05,128.89083862304688,129.26813105284526,128.62134011397274,129.18728561230208,2838000
2019-03-06,127.91165161132812,128.95370502049744,127.76791727063004,128.92675654502418,2139600
2019-03-07,126.91454315185547,127.78591392511399,126.4474133015821,127.70506848196976,2851800
2019-03-08,126.65401458740234,126.68994132013455,125.69280657286122,125.88145961467471,2328000
2019-03-11,128.51351928710938,128.55843798042795,126.9863796651024,127.01332813964142,1910400
2019-03-12,128.94467163085938,129.2141700062707,128.66619500226182,128.75603236315118,1966100
2019-03-13,129.77117919921875,130.21134677194283,129.30404944364875,129.32201966312564,2013500
2019-03-14,129.663330078125,129.93282845495366,129.4028236617866,129.77113765321056,1494000
2019-03-15,130.26522827148438,130.68743928191154,129.85200922335966,129.91488442317882,2324300
2019-03-18,130.75035095214844,130.93899029170692,130.2113539960288,130.34611008868973,2489700
2019-03-19,130.72337341308594,131.57677364783194,130.24726548084053,131.26235654211865,6104600
2019-03-20,130.18438720703125,131.1455951118786,129.5825151248063,130.54372302965365,2900900
2019-03-21,131.71156311035156,131.90919444052474,129.68136655442987,129.78916047733748,2949700
2019-03-22,128.96270751953125,131.2174975779063,128.90881055845298,131.01087428408795,5151000
2019-03-25,128.8741912841797,129.43415601864305,128.1606744953899,128.77484136857754,3676500
2019-03-26,129.86769104003906,130.40057543620955,129.16321475371112,129.78640849501065,2861000
2019-03-27,129.27154541015625,130.19277472337188,128.38642328062588,129.9127924547651,3402700
2019-03-28,129.84059143066406,130.03929127556566,129.00064427106759,129.56964962522883,2654500
2019-03-29,130.6986083984375,130.77085035269536,130.08444153626627,130.60828528355654,3614700
2019-04-01,132.2159423828125,132.29722492038215,131.49339878121205,131.64693705707904,3666800
2019-04-02,132.20689392089844,132.31527061990002,131.7462653874004,132.24301489344208,4292800
2019-04-03,132.52297973632812,133.07391751918527,132.1526881364685,132.8390967752049,2404400
2019-04-04,132.80294799804688,132.9022978756536,132.17976834546,132.62231561549848,2248400
2019-04-05,133.47129821777344,133.51645975714342,133.00164301478617,133.1190602608747,1744500
2019-04-08,133.5887451171875,133.6067987118494,132.8662016709823,133.25456067676274,2130500
2019-04-09,132.78489685058594,133.20034995995672,132.50491458527787,133.05585232007905,2150700
2019-04-10,133.3990478515625,133.4171152243072,132.83005653309593,132.98359474800705,2019000
2019-04-11,133.39004516601562,133.63390650736045,133.07392810199937,133.6158391313501,1794600
2019-04-12,134.2841796875,134.39257016157774,133.78744399167576,134.16677619752312,2612000
2019-04-15,134.17584228515625,134.39260951541723,133.72425422480967,134.34744795310777,2083000
2019-04-16,134.21194458007812,134.6273977775245,133.88680070402984,134.57320942841153,2953300
2019-04-17,133.7151641845703,134.77187809224566,133.46227609288908,134.75381071959202,2983900
2019-04-18,133.9138946533203,134.03129814907734,133.22747214872268,134.03129814907734,2457000
2019-04-22,133.95004272460938,134.0403658454991,133.46233370337555,133.62489878332906,2148600
2019-04-23,135.29574584960938,135.4041225421825,134.07645293268226,134.16677603073975,2344200
2019-04-24,135.11512756347656,135.52155398449455,134.99771027999776,135.27769261933523,1924600
2019-04-25,134.8893585205078,135.19643509260786,134.2119764330892,135.06095040629984,2428600
2019-04-26,135.62086486816406,135.62086486816406,134.5641509650159,134.94348310091263,2184500
2019-04-29,135.81959533691406,136.0995776590083,135.59380136343543,135.67508388635883,2461500
2019-04-30,135.82862854003906,136.01830155050882,134.84417007677544,135.72927863576845,2224500
2019-05-01,134.81712341308594,136.26219715194364,134.79002922795195,136.19898198042299,3761300
2019-05-02,134.59130859375,135.24159649943516,133.72425345904517,134.70871211743355,2537800
2019-05-03,136.0453643798828,136.10857951455995,135.20540378615362,135.2957268715414,2147100
2019-05-06,135.61184692382812,135.78345253852368,133.688091755103,133.84162999420698,2635300
2019-05-07,133.27259826660156,134.65445592474265,132.25200536013605,134.4286620096037,4385800
2019-05-08,133.0558624267578,133.8867824899822,132.7758663588141,133.08295659762837,2492100
2019-05-09,132.63143920898438,132.92947524698343,131.01474598704462,131.91792224646875,2768000
2019-05-10,133.2455291748047,133.63390194824245,130.64437837285521,132.1617209344489,3175300
2019-05-13,129.87672424316406,131.09600369344503,129.37997463836513,130.68957721001806,4241900
2019-05-14,131.0508270263672,131.78239729154913,130.18377210899243,130.31021618221683,3090200
2019-05-15,131.82760620117188,132.10758862236847,130.10253632566173,130.26510142904996,2072300
2019-05-16,133.01971435546875,133.6970961221274,132.12556546218713,132.16170020730794,2319500
2019-05-17,132.0804443359375,133.34488504278568,131.87270396302165,131.91786551284554,1923900
2019-05-20,131.14112854003906,131.79141624401794,130.7617963429463,131.19531688514238,1669200
2019-05-21,132.42367553710938,132.59528120134317,131.89983174469126,131.9630606868294,1438800
2019-05-22,131.9449920654297,132.3785265124831,131.6559828821009,131.91789788516053,1539800
2019-05-23,130.2650146484375,130.82499289915688,129.4973236471252,130.80692552813596,2701100
2019-05-24,130.5811767578125,131.16823559591865,130.20184452346177,130.92438801900306,1381900
2019-05-28,129.4341278076172,131.21338532018115,129.3799394620763,130.79793215012126,3866100
2019-05-29,128.54904174804688,128.9735355706038,127.74521565921245,128.81095672427224,2955100
2019-05-30,128.80191040039062,129.30768667875628,128.20581102315822,128.87416612321,2621700
2019-05-31,127.06781768798828,127.88067047336233,126.98653516572494,127.44714990658753,2836300
2019-06-03,126.8149185180664,127.69100015439989,126.1014019121276,127.06780664181534,4765100
2019-06-04,129.6599578857422,129.70511944672947,127.77232315628595,128.0071439794969,2767600
2019-06-05,130.65341186523438,130.7979232978094,129.3979980801473,130.40955054543508,5059700
2019-06-06,131.38502502441406,131.72823634371537,130.37347222820802,130.79796608691018,2795600
2019-06-07,132.5771942138672,133.1732936599839,131.8456238851656,131.91787961633472,1667900
2019-06-10,133.31781005859375,134.1848650833557,133.25458112346527,133.42618676867446,2259800
2019-06-11,133.19137573242188,134.41969573506813,132.839137617469,134.23002269715207,1724500
2019-06-12,133.01071166992188,133.34488232534235,132.70362140619972,133.08296739189356,1729900
2019-06-13,133.62489318847656,133.75133728360396,133.1552377859864,133.480381713653,1726600
2019-06-14,133.33587646484375,133.66102037408635,133.01073255560112,133.48941473012889,1401000
2019-06-17,133.43284606933594,133.86797885664706,133.3875165673485,133.51443087334016,2506100
2019-06-18,134.89239501953125,135.49977173871247,134.23062841991958,134.3484685499773,2261100
2019-06-19,135.35475158691406,135.51793509549242,134.52074096703484,134.99214308527186,4049900
2019-06-20,136.59669494628906,136.7508180777852,135.481660705868,136.6420244653981,2968100
2019-06-21,136.61477661132812,136.83234991921188,136.01646038911414,136.34281343462888,2414300
2019-06-24,135.8533172607422,136.40630408918088,135.71734256220174,136.27938975966828,1977300
2019-06-25,134.56600952148438,135.88954240220417,134.43909522014656,135.86234746853333,2309500
2019-06-26,134.3122100830078,135.24593989544533,134.2850151434319,134.94678172748607,1903700
2019-06-27,135.11903381347656,135.25500851965518,134.67482671891761,134.76548574478687,2392200
2019-06-28,136.06178283691406,136.13430726911548,135.35468691372657,135.53599107791956,2589600
2019-07-01,137.0227508544922,137.7207866324795,136.44256904532267,137.6573363795491,3960800
2019-07-02,137.33999633789062,137.33999633789062,136.57851056911346,136.99550875232066,2705400
2019-07-03,138.3734893798828,138.39162395138436,137.5666738558782,137.67545361963724,2286800
2019-07-05,138.29190063476562,138.35535088428375,137.12246287702393,137.8023640464843,2446300
2019-07-08,137.5485382080078,137.82050144790225,137.2221850866595,137.67545254227522,2611300
2019-07-09,137.79330444335938,137.87488926431826,136.90490411679372,136.90490411679372,3178000
2019-07-10,138.3553466796875,138.81768831374987,137.90207924715529,138.3281517403455,1852500
2019-07-11,138.54576110839844,138.72706536202398,138.0109087187833,138.64548052278667,2641000
2019-07-12,139.25283813476562,139.28003307741955,138.6907908764165,138.7905102770229,1656000
2019-07-15,139.16212463378906,139.45222235204983,138.94456517771405,139.45222235204983,2155000
2019-07-16,138.80860900878906,139.30720593276794,138.654499747309,139.15309667128787,1778500
2019-07-17,137.89300537109375,138.8539300207158,137.89300537109375,138.79047977934113,2575500
2019-07-18,138.4007110595703,138.55482036554423,137.42165149871147,137.6754802182718,1463500
2019-07-19,137.61203002929688,138.9536980952184,137.55764013687985,138.89024783160784,1487900
2019-07-22,137.93832397460938,138.1558834508399,137.5757017931888,137.84766497109877,1510000
2019-07-23,138.86302185058594,138.88115642335438,138.06528047291334,138.5004133909735,1643800
2019-07-24,139.71517944335938,139.74237438863145,138.48229120472513,138.48229120472513,2168900
2019-07-25,138.97177124023438,139.56101325779179,138.60008869617673,139.5519528906032,2046000
2019-07-26,139.97802734375,140.0686725148225,139.25279681206058,139.2890521139652,1721600
2019-07-29,139.6426239013672,139.95085626690002,139.27095512115352,139.9236613276801,1587600
2019-07-30,139.5066680908203,139.60638749233416,138.66359719562453,138.872096368744,1970300
2019-07-31,137.98370361328125,139.7061146448528,136.95025422781296,139.52481040457582,2512000
2019-08-01,136.7054443359375,139.4703781156365,136.21590782012316,138.05617227310162,3901500
2019-08-02,135.59950256347656,136.3519282489964,134.69296759286846,136.25220884892448,7062200
2019-08-05,131.57447814941406,133.4872673899365,130.42317492425715,133.42380330567678,5701800
2019-08-06,133.28781127929688,133.33314078607384,131.63792512707738,132.5263253628879,3408400
2019-08-07,133.43284606933594,133.74106455065538,130.7041677415825,131.71949602213763,3195500
2019-08-08,135.97117614746094,135.9983710881543,133.89520345703423,134.14903212525562,4143200
2019-08-09,135.00119018554688,135.78987120703522,134.18531422074005,135.58137203071814,2349700
2019-08-12,133.33314514160156,134.40284960684008,132.85268278584206,134.27593528329274,2610200
2019-08-13,135.23681640625,136.05270579404603,132.83450540174812,133.16085839034264,2721400
2019-08-14,131.32968139648438,133.4419089690615,131.24809659093188,133.21527528744537,3938800
2019-08-15,131.57447814941406,132.0458801824321,130.58635840333557,131.72858742638385,3591900
2019-08-16,133.56884765625,133.80455558103003,132.3540942209018,132.42661867217066,3659300
2019-08-19,135.1552276611328,135.50877556904325,134.73822953006868,135.1552276611328,2875000
2019-08-20,134.12184143066406,135.10090082449574,134.0765119171984,134.90146203134714,1739000
2019-08-21,135.25494384765625,135.43624798007914,134.91047014583833,135.2186885542191,1439700
2019-08-22,135.1371612548828,135.8895730328718,134.28501625412474,135.62668400392226,1730700
2019-08-23,131.7285919189453,135.34567136422862,131.1212151598352,134.5388558086793,3808300
2019-08-26,133.06114196777344,133.15180095706492,132.0458276842832,132.8345083271644,3623000
2019-08-27,132.44473266601562,134.0130339122518,132.06397589785368,133.8407900963268,1984700
2019-08-28,133.38754272460938,133.47820174636243,131.72858222142554,132.07306990493765,1981000
2019-08-29,135.1552276611328,135.418130417021,134.2577673432319,134.7019604031646,2576000
2019-08-30,135.1099395751953,135.88049968293808,134.566026998515,135.87143931474486,2267900
2019-09-03,134.23060607910156,134.66573888274806,133.5960206926983,134.1580816397234,4307800
2019-09-04,135.6629180908203,135.6629180908203,134.91050643053225,135.34563923190154,2071700
2019-09-05,137.4760284423828,137.89304063245558,136.6601524681608,136.88678622018097,2991800
2019-09-06,137.50323486328125,137.84772262154644,137.24940614644194,137.62108885060937,1568700
2019-09-09,137.5847930908203,138.03806049945734,137.02273209792637,137.9927309920689,2575200
2019-09-10,137.72076416015625,137.72076416015625,136.55134036296718,137.21310688904708,3435200
2019-09-11,138.84487915039062,138.85393951902878,137.52133220015116,137.87488023377438,3848100
2019-09-12,139.26185607910156,139.7241976286194,138.74513849346732,139.27093027897243,3486800
2019-09-13,139.12586975097656,139.6788564245203,138.9536259593222,139.4884780672653,3002500
2019-09-16,138.84359741210938,139.0530519103036,138.4610959513986,138.6250271339898,1690800
2019-09-17,139.18052673339844,139.21694815957832,138.4246536021295,138.74340013922017,2104500
2019-09-18,139.1623077392578,139.18962728263202,137.83271030836744,139.01659424392622,1716700
2019-09-19,139.07125854492188,139.89087270485933,138.92554503773147,139.453746079293,2061400
2019-09-20,138.46109008789062,139.54481175666413,138.06039877231535,139.33535726733984,2106100
2019-09-23,138.53395080566406,138.84359550274345,138.03308317287093,138.1605790260192,2051800
2019-09-24,137.24989318847656,139.16233102468948,136.78543308139152,138.9710941890712,4234600
2019-09-25,138.11502075195312,138.3426928761403,136.530417765049,137.2680732240549,6144100
2019-09-26,137.69613647460938,138.11505941462488,137.03133757676608,138.11505941462488,1723000
2019-09-27,136.87652587890625,138.16060038873582,136.0933329753231,138.09684550430083,1940200
2019-09-30,137.51397705078125,137.85092738226354,137.10416996459915,137.19523048597011,1702000
2019-10-01,135.7199249267578,138.31539307128065,135.6197486219796,137.96932694640944,2823000
2019-10-02,133.51608276367188,135.00050992370709,132.79664474078842,134.94585692418994,3811500
2019-10-03,134.59979248046875,134.59979248046875,131.9587869159792,133.39767672780314,4380400
2019-10-04,136.357421875,136.43027864210862,134.81835567284804,135.10978274128254,2509200
2019-10-07,135.82008361816406,136.7763093314047,135.59241149101172,136.0386538627917,2237400
2019-10-08,133.62535095214844,135.10977800088892,133.60714718301557,134.8183509426793,2213900
2019-10-09,134.85479736328125,135.3192436424906,134.34481386548083,134.64534283297212,3294600
2019-10-10,135.7199249267578,136.1479496929915,134.77281486922297,134.78191675292803,3508900
2019-10-11,137.177001953125,138.33356624816335,137.0312884700327,137.0677098928045,3377100
2019-10-14,137.04953002929688,137.28630405861063,136.83095976654226,137.07684957514056,1213500
2019-10-15,138.39736938476562,138.72521788808444,137.44114342541846,137.5413197429883,2153200
2019-10-16,138.1424102783203,138.47025885907857,137.85098314164154,138.0968730512129,1578400
2019-10-17,138.59774780273438,139.00755503411597,138.27900112498756,138.7252436946311,1640400
2019-10-18,138.04217529296875,138.60679776040328,137.422899838617,138.37002373444795,1720000
2019-10-21,138.9437713623047,139.05304955150777,138.47931126618005,138.74341875142852,1710100
2019-10-22,138.52481079101562,139.3444247790724,138.46105593398798,139.27156804075594,1711800
2019-10-23,138.80714416503906,138.87089903226237,138.2152021785571,138.3973371054743,1804000
2019-10-24,139.1896209716797,139.40819120476695,138.6796376571459,139.34443634244866,1582200
2019-10-25,139.74517822265625,140.0274894962686,138.807169973425,138.87092485250227,2461600
2019-10-28,140.59210205078125,140.8470937317498,140.24603595689348,140.355314135593,2725500
2019-10-29,140.56475830078125,140.97456529633996,140.34618808501565,140.45546624489745,1561500
2019-10-30,140.90174865722656,141.1021012713632,139.9182032503755,140.6103216199347,2246000
2019-10-31,140.4099578857422,140.8653021734443,139.71783957099672,140.8653021734443,2224400
2019-11-01,141.91261291503906,141.91261291503906,141.0838829148161,141.15673967378135,2341400
2019-11-04,142.43167114257812,142.76863532574373,142.23131856750774,142.70488046276532,2150600
