,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA,JPM,JPM,JPM,JPM,JPM,PFE,PFE,PFE,PFE,PFE,WMT,WMT,WMT,WMT,WMT,VTI,VTI,VTI,VTI,VTI
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,TSLA,JPM,JPM,JPM,JPM,JPM,PFE,PFE,PFE,PFE,PFE,WMT,WMT,WMT,WMT,WMT,VTI,VTI,VTI,VTI,VTI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,37.50372314453125,37.72458662290483,36.62740075617171,36.78414211195393,148158800,94.39716339111328,94.98527604985091,92.36209773238227,92.93154320034118,35329300,52.301727294921875,52.6047230648871,50.843776043780714,50.93898977352967,31868000,20.674667358398438,21.0086669921875,19.920000076293945,20.406667709350586,174879000,81.25019073486328,81.6347208906033,78.49303885913707,78.50121583634666,15670900,29.294357299804688,29.4636878374196,28.881186212848146,29.20630422198451,26430315,27.96704864501953,28.059933549591584,27.45768611832483,27.45768611832483,24458100,114.74227905273438,115.12855646377746,112.59529052138133,112.96360456956103,5093200
2019-01-03,33.76807403564453,34.60639781423897,33.72295119720163,34.19317161474013,365248800,90.92447662353516,93.52898759940106,90.73776911574217,93.44496744035342,42579100,50.85319900512695,52.875981979933826,50.69947078305662,52.10287264182408,41960000,20.02400016784668,20.626667022705078,19.825332641601562,20.46666717529297,104478000,80.09549713134766,81.56362488569738,79.74908623726364,81.35742702598175,16286400,28.474794387817383,29.355319832061113,28.413835604340694,29.2875881530114,28503533,27.823225021362305,28.377532340145134,27.7752849845315,27.928094066238568,24831900,112.08326721191406,114.00567632471493,111.90360613958492,114.00567632471493,5252900
2019-01-04,35.209625244140625,35.27849811991715,34.15044115171083,34.323804681650046,234428400,95.15331268310547,95.69475382331821,92.35276390262223,93.09024260280914,44060600,53.461647033691406,53.55735640667241,51.41803607599108,51.70069975013363,46022000,21.179332733154297,21.200000762939453,20.18199920654297,20.399999618530273,110911500,83.0482406616211,83.24618881799546,81.06049054469446,81.74506885578477,16935200,29.125028610229492,29.36209357875454,28.623807090102005,28.74572738390899,27145348,27.997013092041016,28.06292936660403,27.772293921767044,27.92809820733389,24087300,115.79331970214844,116.21553075091686,113.4756617691121,113.6193961064079,4776900
2019-01-07,35.13124465942383,35.34498388334802,34.64914915949289,35.31410959435231,219111200,95.27464294433594,96.40419647651117,94.26645105322747,94.88256792434031,35656100,53.35502243041992,53.69124047708747,52.696463948265446,53.60545126402301,47446000,22.33066749572754,22.44933319091797,21.183332443237305,21.447999954223633,113268000,83.10599517822266,83.69159640132456,82.23996156660638,82.83381246683926,15430700,29.280807495117188,29.544966716922232,29.030199508765108,29.172435737959795,20995469,28.32659912109375,28.515364112402434,27.91910875461866,28.05094473041972,23369100,116.96112823486328,117.7157128869036,115.71246540329899,116.05383100138096,4485100
2019-01-08,35.80095672607422,36.055068075400506,35.27136481535477,35.51834826233486,164101200,95.96546173095703,97.05767390191076,94.9479254381183,96.18950360962789,31514400,53.823646545410156,54.21937410077029,52.979620715422925,53.854886302804,35414000,22.356666564941406,22.93400001525879,21.801332473754883,22.797332763671875,105127500,82.94925689697266,83.98024597359439,82.10797257921881,83.82353362029735,13578800,29.416282653808594,29.59916175266382,29.226630658450556,29.504335754984805,19677231,28.524349212646484,28.69213934077067,28.13783202457667,28.482401251997704,21602700,118.16488647460938,118.33556929401496,116.8263998098715,118.08404104665772,3949400
2019-01-09,36.40890884399414,36.69864150293026,35.53496376531212,35.929187021597,180396400,97.3377456665039,97.90719120384354,96.37622497556912,96.95500767051753,32280800,53.6391716003418,54.13457733639377,53.2781531970929,53.95357439752464,26998000,22.568666458129883,22.899999618530273,22.097999572753906,22.366666793823242,81493500,82.80906677246094,83.70808647519328,82.42141376571958,83.14722801084275,14230300,29.355314254760742,29.578830659481916,29.260488288115706,29.436594432833335,20107580,28.43147087097168,28.80600227894876,28.395516692467893,28.6771649010448,18816900,118.72184753417969,119.17998530964952,118.00318956122368,118.59608341695693,6405100
2019-01-10,36.525291442871094,36.56566356603284,35.827083095118475,36.216559392156526,143122800,96.71227264404297,96.85230149231991,95.57338179056309,96.35753906761607,30067600,53.49932861328125,53.54792673522367,52.797627727154754,53.30642301238766,26598000,22.99799919128418,23.025999069213867,22.119333267211914,22.293333053588867,90846000,82.80081939697266,83.08125178327204,81.87705063805568,82.49564427213566,14376100,28.65767478942871,29.28081389085398,28.468022811318544,29.274040994967134,39731162,28.45244598388672,28.458438061282433,27.901135430639933,28.12884980191923,28188900,119.30574798583984,119.37761515299347,117.67979273736316,118.07505530307782,2685700
